Task ID,Task,Phase,Milestone,Workstream,Type,Priority,Status,Story Points,Depends On,Source Project,License Handling,Deliverable,Acceptance,Codex Execution Note
CIV-126,Implement succession hooks,P15,M11,Governance,Engineering,P2,Not Started,13,,MCA Reborn,GPL adaptation + provenance,Implement succession hooks,Leadership loss is safe.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-127,Create governance diagnostics,P15,M11,UI,Engineering,P2,Not Started,8,,Original,Original,Create governance diagnostics,Civic state is explainable.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-128,Define crisis engine and stages,P16,M12,Crises,Engineering,P0,Not Started,13,,Original,Original,Define crisis engine and stages,Trigger/escalation/intervention/recovery exist.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-129,Implement drought crisis,P16,M12,Crises,Engineering,P0,Not Started,8,,Immersive EGO,Runtime API only,Implement drought crisis,Water shortage propagates through systems.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-130,Implement famine crisis,P16,M12,Crises,Engineering,P0,Not Started,8,,MineColonies,GPL adaptation + provenance,Implement famine crisis,Food shortage affects loyalty/trade.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-131,Implement labor shortage/strike,P16,M12,Crises,Engineering,P1,Not Started,13,,Original,Original,Implement labor shortage/strike,Overwork can reduce labor.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-132,Implement raid trauma/exhaustion,P16,M12,Crises,Engineering,P1,Not Started,8,,All,GPL adaptation + provenance,Implement raid trauma/exhaustion,Repeated attacks degrade recovery.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-133,Implement succession crisis,P16,M12,Crises,Engineering,P2,Not Started,13,,Original,Original,Implement succession crisis,Leadership loss divides support.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-134,Implement diplomacy/treaties,P16,M12,Diplomacy,Engineering,P2,Not Started,13,,Original,Original,Implement diplomacy/treaties,Trade/alliance/truce/passage persist.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-135,Implement crisis diagnostics/admin controls,P16,M12,Diagnostics,Engineering,P1,Not Started,8,,Original,Original,Implement crisis diagnostics/admin controls,Escalation is traceable and reversible.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-136,Create resident dossier UI,P17,M13,UI,Engineering,P1,Not Started,13,,BlockUI,Runtime API only,Create resident dossier UI,"Identity, EGO, work, family and orders display.",Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-137,Create settlement dashboard,P17,M13,UI,Engineering,P1,Not Started,13,,BlockUI,Runtime API only,Create settlement dashboard,Population/stock/work/security/crises display.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-138,Create faction ledger UI,P17,M13,UI,Engineering,P2,Not Started,13,,BlockUI,Runtime API only,Create faction ledger UI,Relations/laws/reputation display.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-139,Implement exhaustive ModConfigSpec,P17,M13,Configuration,Engineering,P0,Not Started,13,,Original,Original,Implement exhaustive ModConfigSpec,Material gameplay rules are configurable.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-140,Implement dynamic TOML loaders,P17,M13,Configuration,Engineering,P0,Not Started,13,,Original,Original,Implement dynamic TOML loaders,Profiles validate atomically.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-141,Implement simulation budgets,P17,M13,Performance,Engineering,P0,Not Started,13,,Original,Original,Implement simulation budgets,AI and pathfinding costs are bounded.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-142,Implement profiling commands,P17,M13,Performance,Engineering,P1,Not Started,8,,Original,Original,Implement profiling commands,Tick/cache/transaction metrics are visible.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-143,Implement config migration/fallback,P17,M13,Configuration,Engineering,P0,Not Started,8,,Original,Original,Implement config migration/fallback,Bad config does not corrupt worlds.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-144,Run dedicated-server soak test,P18,M14,Release,Engineering,P0,Not Started,13,,All,GPL adaptation + provenance,Run dedicated-server soak test,"No leaks, dupes or classload errors.",Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-145,Run multi-colony/migration tests,P18,M14,Release,Engineering,P0,Not Started,13,,All,GPL adaptation + provenance,Run multi-colony/migration tests,Cross-colony state is consistent.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-146,Run transaction stress tests,P18,M14,Release,Engineering,P0,Not Started,13,,All,GPL adaptation + provenance,Run transaction stress tests,Interruptions never duplicate.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-147,Run compatibility matrix,P18,M14,Release,Engineering,P0,Not Started,8,,All,GPL adaptation + provenance,Run compatibility matrix,Supported combinations are documented.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-148,Complete provenance manifest,P18,M14,Legal,Engineering,P0,Not Started,13,,All,GPL adaptation + provenance,Complete provenance manifest,Every adapted file is traceable.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-149,Complete asset/trademark audit,P18,M14,Legal,Engineering,P0,Not Started,8,,All,GPL adaptation + provenance,Complete asset/trademark audit,No restricted asset or affiliation claim remains.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-150,Generate reproducible jar/source release,P18,M14,Release,Engineering,P0,Not Started,8,,Original,Original,Generate reproducible jar/source release,Binary and source match.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-151,Complete docs/credits/upgrade guide,P18,M14,Documentation,Engineering,P1,Not Started,8,,Original,Original,Complete docs/credits/upgrade guide,Release is installable and maintainable.,Inspect pinned upstream source first; update provenance; build and test before completion.
